id,Original_Message,Extremism_Label,VE_NVE_classification,VE_NVE_text_span,VE_NVE_explanation,VE_NVE_confidence,VE_subtype,VE_subtype_text_span,VE_subtype_explanation,target_groups,target_groups_text_span,target_groups_explanation
1,yet calling president trump and republicans nazi s is fine illegal aliens,EXTREMIST,NVE,"""calling president trump and republicans nazi s""","The post uses a derogatory comparison (""nazi s"") but does not include any calls for or celebration of physical violence, fitting the definition of non-violent extremism.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
2,jihadi john is a terrorist,EXTREMIST,NVE,"""jihadi john is a terrorist""","The post labels an individual as a terrorist but does not call for or endorse violence, nor does it celebrate violence; it expresses a negative characterization without incitement.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
3,i really sympathize for the kid at do not care office who answered my call i asked him how he feels about government approved murder and sexual trafficking of detained immigrant children he told me he feels awful but the congressman has no new comment,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
4,whatever applaud the murder of black people,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
5,i would like to see every jewish ghetto burn to the ground,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
6,leader and i use that word entirely wrongly claims muslims should not adapt to our where are you of life whatever must yield and concede to theirs since trope has legalized bestiality and child sex has made it a federal offense to report islamic terrorist attacks being cont,EXTREMIST,NVE,"""claims muslims should not adapt to our where are you of life whatever must yield and concede to theirs since trope has legalized bestiality and child sex has made it a federal offense to report islamic terrorist attacks""",The post expresses extremist ideology and conspiracy theories about Muslims and terrorism without any direct or implied call for physical violence or threats. It contains hate speech but no explicit or coded incitement to violence.,HIGH,N/A,N/A,N/A,Muslims,"""claims muslims should not adapt to our where are you of life"", ""islamic terrorist attacks""","The post explicitly mentions ""muslims"" and references ""islamic terrorist attacks,"" indicating that Muslims are the targeted group in this extremist post."
7,let us kill all of them and get it over with they are all fucking terrorists,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
8,ceasefire let s see how long those towel heads can go without trying to attack israel then cry to national media when they get popped again,EXTREMIST,VE,"""when they get popped again""","The phrase ""when they get popped again"" is a coded incitement implying violence against the targeted group, fitting the VE indicator of coded calls for violence.",HIGH,RELIGIOUS,"""towel heads""","The term ""towel heads"" is a derogatory slur targeting people based on their religious and ethnic identity, indicating sectarian or religiously motivated hostility, which aligns with the RELIGIOUS subtype definition.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
9,those mulatto vermin should not be allowed to live here anymore,EXTREMIST,NVE,"""those mulatto vermin should not be allowed to live here anymore""","The post uses dehumanizing slurs and expresses exclusionary hate but does not explicitly or implicitly call for physical violence or harm, fitting the criteria for non-violent extremism.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
10,whatever applaud the murder of trans people,EXTREMIST,VE,"""applaud the murder of trans people""","The phrase explicitly celebrates (""applaud"") the physical violence (""murder"") against a group, which meets the criteria for violent extremism by celebrating violence.",HIGH,Unclear,,,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
