id,text,VE_or_NVE,S_Zero_Def,E_Zero_Def,S_Zero_04,E_Zero_04,S_CoT_Def,E_CoT_Def,S_CoT_04,E_CoT_04
1,ceasefire let s see how long those towel heads can go without trying to attack israel then cry to national media when they get popped again,VE,2,"The post uses a dehumanizing slur (""t",2,"The post uses dehumanizing language (""towel heads"") to refer to a group. It expresses a hateful sentiment by anticipating and justifying violence against this group, framing it as an inevitable consequence of their actions. This aligns with propaganda, hate speech, and dehumanization targeting a group.",3,"The post targets Arabs or Muslims, using",2,The post targets people of Arab or
2,whatever applaud the murder of trans people,VE,4,"The post explicitly ""applauds the",4,"The post expresses approval and celebration of the murder of trans people. This constitutes direct incitement to violence by normalizing and encouraging lethal acts against a specific group. While not a direct command, applauding murder creates an environment that promotes and validates such violence.",3,"The post targets ""trans people"" by expressing",3,The post targets trans people. It expresses
3,foreign invader ernesto esquivel garcia twice arrested in the custody of immigration officials twice released just to go kill an american citizen pouting face deportthemall buildthewall pitbull flag united states red heart,VE,2,"The post uses dehumanizing language such as """,2,"The post uses dehumanizing language (""foreign inv",2,"The post targets individuals perceived as """,2,"The post targets immigrants, labeling them"
4,if a nigca never told you bitch you got some bomb ass fuzzy kill ya self bitch,VE,4,"The post contains a direct command to ""kill ya self,"" which constitutes direct incitement to violence against an individual (self-harm). It also includes a racial slur and highly offensive language, contributing to its severe and harmful nature. This goes beyond general hate speech by directly commanding a violent act.",4,The post contains a direct and explicit command to,4,The post targets an individual with highly derogatory and,4,The post directly targets an individual
5,power bomb that hoe,VE,4,"The post directly incites a violent physical act (""power bomb"") against an unspecified individual referred to by a dehumanizing slur (""that hoe""). This constitutes a direct call to violence against a person, even if the target is not specifically named.",4,"The post directly incites violence by suggesting a physical assault (""power bomb"") against an individual referred to with a dehumanizing slur (""that hoe""). While the target is not specifically named, the language is a clear call for a violent act",4,"The post targets an individual,",4,"The post targets an individual, referred to with"
6,how do you make a plumber cry you kill his family,VE,3,The post describes a highly violent act (killing,3,The post describes an act of extreme violence,2,The post targets a hypothetical plumber and their family,3,"The post targets a hypothetical ""plumber"
7,why is it that you do not kill yourself you stupid fascist puppet,VE,4,The post directly encourages an individual to commit self,4,This post contains a direct incitement for the,4,"The post directly targets an individual, using",4,"The post directly targets an individual, labeling them"
8,attack any mulattoes that you see,VE,4,"The post contains a direct incitement to violence against a specific group of people. It explicitly commands readers to ""attack"" individuals based on their race, fitting the criteria for direct incitement to violence",4,"The post contains a direct command to commit violence (""attack"") against a specific racial group (""mulattoes""). This constitutes direct incitement to violence against a group, fitting the criteria for Level 4. It goes beyond hate speech or glorifying past violence by explicitly calling for immediate violent action.",4,"This post directly targets ""mulattoes,"" a specific racial group. It contains a clear and unambiguous call to violence with the phrase ""attack any... that you see."" The instruction is immediate and actionable, inciting readers to commit violent acts upon encountering individuals",4,"The post directly targets ""mul"
9,attack any foreigners that you see,VE,4,"This post constitutes a direct incitement to violence. It explicitly calls for attacking a specific group (""foreigners""), fitting the criteria for direct incitement against a group. While it doesn't offer tactical instructions or detail a specific planned attack, the command to ""attack"" is unambiguous and aggressive.",4,"This post constitutes a direct incitement to violence. It explicitly calls for physical attacks against a broad group of people (""foreigners""). This goes beyond hate speech or general ideology by directly advocating for harmful actions.",4,"The post directly targets ""any foreigners,"" instructing the reader to commit violence against them. This is a clear and unambiguous call to violence, not merely hateful language. While it lacks specific details about time or location, it is an actionable command to",4,"The post targets a broad group, ""foreigners,"" based on their origin. It contains a direct and explicit call to violence, instructing readers to ""attack any foreigners that you see."" This constitutes direct inc"
10,this bitch is crazy kill this woman,VE,4,"The post contains a direct incitement to violence, specifically calling for the killing of an individual (""kill this woman""). This constitutes a direct threat and incitement, aligning with the criteria for Level 4. It is not merely hate speech but an explicit call to action.",4,"The post contains direct incitement to violence by explicitly calling for the killing of a specific individual (""this woman""). This constitutes a specific threat against a person, aligning with the criteria for Level 4. It goes beyond general hate speech or glorification of past violence.",4,"The post directly targets a specific individual, referred to as ""this woman,"" using dehumanizing language (""bitch""). It contains an explicit and direct call",4,The post directly targets a specific individual
